supplier_id,supplier_name,supplier_type,category,credit_term_days,credit_limit,tax_id,bank_account,active,opening_ap_balance,notes
SUP-0001,บริษัท ฮอนด้า ออโตโมบิล (ประเทศไทย) จำกัด,VENDOR,Vehicle Inventory,30,1500000000,0107536000111,SCB-1112334456,Y,72500000,Main vehicle supplier - Honda
SUP-0002,บริษัท ฮอนด้า แอคเซสซอรี่ (ประเทศไทย) จำกัด,VENDOR,Accessories,30,80000000,0107536000222,SCB-1112334467,Y,3200000,Honda accessories
SUP-0003,บริษัท ฮอนด้า อะไหล่ (ประเทศไทย) จำกัด,VENDOR,Spare Parts,45,120000000,0107536000333,SCB-1112334478,Y,4250000,Genuine spare parts
SUP-0004,บริษัท เด็นโซ่ (ประเทศไทย) จำกัด,VENDOR,Spare Parts,45,15000000,0107537000444,SCB-1112334489,Y,420000,Denso parts
SUP-0005,บริษัท บอช ออโตโมทีฟ (ประเทศไทย) จำกัด,VENDOR,Spare Parts,45,12000000,0107538000555,SCB-1112334490,Y,380000,Bosch parts
SUP-0006,บริษัท เอจีซี ออโต้กลาส (ประเทศไทย) จำกัด,VENDOR,Spare Parts,45,8000000,0107536000666,SCB-1112334501,Y,210000,Auto glass
SUP-0007,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),VENDOR,Fuel,30,5000000,0107561000777,KBANK-2228765432,Y,180000,Fuel
SUP-0008,บริษัท สแลนต์ ออยล์ จำกัด,VENDOR,Consumables,30,2500000,0105541008881,KBANK-2228765443,Y,65000,Engine oil
SUP-0009,บริษัท ดูปองท์ (ประเทศไทย) จำกัด,VENDOR,Paint,45,3500000,0105538009992,KBANK-2228765454,Y,98000,Body paint
SUP-0010,บริษัท แบตเตอรี่ 3K จำกัด,VENDOR,Spare Parts,30,1800000,0105539010003,KBANK-2228765465,Y,52000,Battery
SUP-0011,บริษัท บริดจสโตน เซลส์ (ประเทศไทย) จำกัด,VENDOR,Tires,45,4500000,0105537011114,KBANK-2228765476,Y,128000,Tires
SUP-0012,บริษัท การไฟฟ้านครหลวง,UTILITY,Utilities,30,500000,0994000158333,SCB-1112334512,Y,42000,Electricity
SUP-0013,บริษัท การประปานครหลวง,UTILITY,Utilities,30,200000,0994000158222,SCB-1112334523,Y,8500,Water
SUP-0014,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),UTILITY,Telecom,30,300000,0107535000211,SCB-1112334534,Y,12000,Internet/Phone
SUP-0015,บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),UTILITY,Telecom,30,150000,0107535000257,SCB-1112334545,Y,6500,Mobile
SUP-0016,บริษัท เซ็นทรัล พัฒนา จำกัด (มหาชน),VENDOR,Rent,30,8500000,0107535000299,SCB-1112334556,Y,720000,Showroom rent
SUP-0017,นาย ไพศาล เจ้าของที่ดิน,INDIVIDUAL,Rent,30,3500000,3100100012345,KBANK-2228765487,Y,295000,Service center rent
SUP-0018,บริษัท ซีพี ออลล์ จำกัด (มหาชน),VENDOR,Office Supply,30,500000,0107542000688,SCB-1112334567,Y,18000,Office supplies
SUP-0019,บริษัท อิเควิป ฟอร์โร ทูล จำกัด,VENDOR,Tools/Equipment,45,2200000,0105541019994,KBANK-2228765498,Y,68000,Service tools
SUP-0020,บริษัท คอมพิวเตอร์เซ็นเตอร์ จำกัด,VENDOR,IT,30,800000,0105542020005,KBANK-2228765509,Y,24000,IT/Software
SUP-0021,บริษัท การเงินรักษาความปลอดภัย จำกัด,VENDOR,Security,30,1200000,0105543021116,KBANK-2228765510,Y,52000,Security services
SUP-0022,บริษัท คลีนแอนด์แคร์ บริการความสะอาด จำกัด,VENDOR,Cleaning,30,600000,0105544022227,KBANK-2228765521,Y,28000,Cleaning services
SUP-0023,บริษัท แอดเวอร์ไทซิ่ง โพรโมชั่น จำกัด,VENDOR,Marketing,30,3500000,0105545023338,SCB-1112334578,Y,180000,Marketing agency
SUP-0024,บริษัท ขนส่งรถยนต์ ไทยอัตโนมัติ จำกัด,VENDOR,Logistics,30,2800000,0105546024449,SCB-1112334589,Y,165000,Vehicle transport
SUP-0025,บริษัท ออดิเตอร์ แอนด์ คอนซัลแตนท์ จำกัด,VENDOR,Professional,30,1500000,0105547025550,SCB-1112334590,Y,65000,Auditor/Consultant
SUP-0026,กรมสรรพากร,GOVERNMENT,Tax,0,0,0994000158111,Government,Y,3850000,VAT/WHT to be paid
SUP-0027,สำนักงานประกันสังคม,GOVERNMENT,Social Security,0,0,0994000158121,Government,Y,420000,Social security
SUP-0028,ธนาคารกรุงเทพ จำกัด (มหาชน),BANK,Loan,0,0,0107536000301,N/A,Y,0,LT loan provider
SUP-0029,ธนาคารกสิกรไทย จำกัด (มหาชน),BANK,Loan,0,0,0107536000312,N/A,Y,0,LT loan provider
SUP-0030,พนักงาน (รวมเงินเดือน),INTERNAL,Payroll,0,0,N/A,N/A,Y,0,Payroll account
